arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_excluded_non_terminating,n_looped_on_correct_answer,low_power,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,mae_delta
main_sweep,gemma4-12b,exact,clustering,,False,excluded,main_sweep/gemma4-12b/excluded,179,179,1.0,1,0.0,False,True,0.011111111111111072,-0.034482758620689655,0.0,-0.00558659217877095,-0.01675977653631285,0.0,1.0,False,,0.012625698324022347,-0.043750000000000004,-0.0423463687150838,0.8,False,,
main_sweep,gemma4-12b,exact,components,,False,excluded,main_sweep/gemma4-12b/excluded,180,180,0.0,0,0.0,False,True,0.011111111111111072,-0.1,0.0,-0.016666666666666666,-0.03888888888888889,0.0,0.2455754424557544,False,,0.011888888888888888,-0.0421875,-0.04066666666666666,0.8,False,,
main_sweep,gemma4-12b,exact,degree,,False,excluded,main_sweep/gemma4-12b/excluded,180,180,0.0,0,0.0,False,True,0.011111111111111072,0.0,0.06666666666666667,0.011111111111111112,0.0,0.027777777777777776,0.4998500149985001,False,,0.013111111111111112,-0.045312500000000006,-0.042333333333333334,0.8,False,,
main_sweep,gemma4-12b,exact,filler,,False,excluded,main_sweep/gemma4-12b/excluded,179,179,1.0,1,0.0,False,True,0.011111111111111072,-0.06896551724137931,0.0,-0.0111731843575419,-0.027932960893854747,0.0,0.4884511548845116,False,,0.012625698324022347,-0.045312500000000006,-0.04692737430167598,0.8,False,,
main_sweep,gemma4-12b,exact,rwse,,False,excluded,main_sweep/gemma4-12b/excluded,179,179,1.0,1,0.0,False,True,0.011111111111111072,-0.034482758620689655,0.0,-0.00558659217877095,-0.01675977653631285,0.0,1.0,False,,0.013072625698324023,-0.0484375,-0.0488268156424581,0.8,False,,
main_sweep,gemma4-12b,exact,all,,True,excluded,main_sweep/gemma4-12b/excluded/derived,180,180,0.0,0,0.0,False,True,0.011111111111111072,0.0,0.03333333333333333,0.005555555555555556,-0.011111111111111112,0.022222222222222223,1.0,False,,0.011555555555555555,-0.043750000000000004,-0.04555555555555556,0.8,,,
main_sweep,gemma4-12b,exact,clustering,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.0,-0.005555555555555556,-0.016666666666666666,0.0,1.0,False,,,,,,,,
main_sweep,gemma4-12b,exact,components,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,-0.1,0.0,-0.016666666666666666,-0.03888888888888889,0.0,0.251974802519748,False,,,,,,,,
main_sweep,gemma4-12b,exact,degree,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,0.0,0.06666666666666667,0.011111111111111112,0.0,0.027777777777777776,0.49625037496250374,False,,,,,,,,
main_sweep,gemma4-12b,exact,filler,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,-0.06666666666666667,0.0,-0.011111111111111112,-0.027777777777777776,0.0,0.507949205079492,False,,,,,,,,
main_sweep,gemma4-12b,exact,rwse,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.0,-0.005555555555555556,-0.016666666666666666,0.0,1.0,False,,,,,,,,
main_sweep,gemma4-12b,exact,all,,True,best_case,main_sweep/gemma4-12b/best_case/derived,180,180,0.0,0,,,,,0.0,0.03333333333333333,0.005555555555555556,-0.011111111111111112,0.022222222222222223,1.0,False,,,,,,,,
main_sweep,gemma4-12b,exact,clustering,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,-0.06666666666666667,0.0,-0.011111111111111112,-0.027777777777777776,0.0,0.49945005499450057,False,,,,,,,,
main_sweep,gemma4-12b,exact,components,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,-0.1,0.0,-0.016666666666666666,-0.03888888888888889,0.0,0.24197580241975802,False,,,,,,,,
main_sweep,gemma4-12b,exact,degree,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,0.0,0.06666666666666667,0.011111111111111112,0.0,0.027777777777777776,0.49905009499050096,False,,,,,,,,
