arm,group,task,condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,gemma4-e4b/zerocot-only,node_degree,clustering,excluded,mae/gemma4-e4b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/zerocot-only,node_degree,components,excluded,mae/gemma4-e4b/zerocot-only/node_degree,30,30,0,-0.16666666666666666,-0.5,-0.0,1.0,False,False
main_sweep,gemma4-e4b/zerocot-only,node_degree,degree,excluded,mae/gemma4-e4b/zerocot-only/node_degree,29,29,1,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/zerocot-only,node_degree,filler,excluded,mae/gemma4-e4b/zerocot-only/node_degree,30,30,0,-1.0,-2.033333333333333,-0.16666666666666666,0.06359364063593641,False,False
main_sweep,gemma4-e4b/zerocot-only,node_degree,rwse,excluded,mae/gemma4-e4b/zerocot-only/node_degree,29,29,1,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_count,all,excluded,mae/qwen3-14b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_count,clustering,excluded,mae/qwen3-14b/zerocot-only/node_count,30,30,0,-0.03333333333333333,-0.1,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_count,components,excluded,mae/qwen3-14b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_count,degree,excluded,mae/qwen3-14b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_count,filler,excluded,mae/qwen3-14b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_count,rwse,excluded,mae/qwen3-14b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,edge_count,all,excluded,mae/qwen3-14b/zerocot-only/edge_count,28,28,2,-1.6428571428571428,-5.535714285714286,0.7857142857142857,0.6223377662233777,False,False
main_sweep,qwen3-14b/zerocot-only,edge_count,clustering,excluded,mae/qwen3-14b/zerocot-only/edge_count,28,28,2,0.5,0.14285714285714285,0.9285714285714286,0.015398460153984602,True,False
main_sweep,qwen3-14b/zerocot-only,edge_count,components,excluded,mae/qwen3-14b/zerocot-only/edge_count,27,27,3,0.18518518518518517,-0.18518518518518517,0.6666666666666666,0.504049595040496,False,False
main_sweep,qwen3-14b/zerocot-only,edge_count,degree,excluded,mae/qwen3-14b/zerocot-only/edge_count,27,27,3,1.5185185185185186,0.25925925925925924,3.037037037037037,0.052094790520947905,False,False
main_sweep,qwen3-14b/zerocot-only,edge_count,filler,excluded,mae/qwen3-14b/zerocot-only/edge_count,28,28,2,-22.071428571428573,-35.285714285714285,-11.321428571428571,9.999000099990002e-05,True,True
main_sweep,qwen3-14b/zerocot-only,edge_count,rwse,excluded,mae/qwen3-14b/zerocot-only/edge_count,28,28,3,0.07142857142857142,-0.10714285714285714,0.25,0.6833316668333167,False,False
main_sweep,qwen3-14b/zerocot-only,node_degree,all,excluded,mae/qwen3-14b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_degree,clustering,excluded,mae/qwen3-14b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_degree,components,excluded,mae/qwen3-14b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_degree,degree,excluded,mae/qwen3-14b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zerocot-only,node_degree,filler,excluded,mae/qwen3-14b/zerocot-only/node_degree,30,30,0,-0.5,-1.2333333333333334,-0.0,0.2616738326167383,False,False
main_sweep,qwen3-14b/zerocot-only,node_degree,rwse,excluded,mae/qwen3-14b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_count,all,excluded,mae/qwen3-8b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_count,clustering,excluded,mae/qwen3-8b/zerocot-only/node_count,30,30,0,-0.03333333333333333,-0.1,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_count,components,excluded,mae/qwen3-8b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_count,degree,excluded,mae/qwen3-8b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_count,filler,excluded,mae/qwen3-8b/zerocot-only/node_count,28,28,2,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_count,rwse,excluded,mae/qwen3-8b/zerocot-only/node_count,30,30,0,-0.03333333333333333,-0.1,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,edge_count,all,excluded,mae/qwen3-8b/zerocot-only/edge_count,28,28,3,1.7857142857142858,0.75,2.9642857142857144,0.0032996700329967,True,False
main_sweep,qwen3-8b/zerocot-only,edge_count,clustering,excluded,mae/qwen3-8b/zerocot-only/edge_count,27,27,3,0.8148148148148148,-0.037037037037037035,1.962962962962963,0.1698830116988301,False,False
main_sweep,qwen3-8b/zerocot-only,edge_count,components,excluded,mae/qwen3-8b/zerocot-only/edge_count,26,26,5,0.5,-0.2692307692307692,1.4230769230769231,0.3227677232276772,False,False
main_sweep,qwen3-8b/zerocot-only,edge_count,degree,excluded,mae/qwen3-8b/zerocot-only/edge_count,28,28,2,1.9642857142857142,0.6785714285714286,3.4285714285714284,0.0086991300869913,True,False
main_sweep,qwen3-8b/zerocot-only,edge_count,filler,excluded,mae/qwen3-8b/zerocot-only/edge_count,27,27,4,-16.0,-28.074074074074073,-6.111111111111111,0.0031996800319968005,True,False
main_sweep,qwen3-8b/zerocot-only,edge_count,rwse,excluded,mae/qwen3-8b/zerocot-only/edge_count,25,25,6,-9.96,-18.84,-2.36,0.028397160283971604,True,False
main_sweep,qwen3-8b/zerocot-only,node_degree,all,excluded,mae/qwen3-8b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_degree,clustering,excluded,mae/qwen3-8b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_degree,components,excluded,mae/qwen3-8b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_degree,degree,excluded,mae/qwen3-8b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_degree,filler,excluded,mae/qwen3-8b/zerocot-only/node_degree,30,30,0,-0.26666666666666666,-0.8,-0.0,1.0,False,False
main_sweep,qwen3-8b/zerocot-only,node_degree,rwse,excluded,mae/qwen3-8b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
