arm,group,task,condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,gemma4-e4b,edge_count,filler,excluded,mae/gemma4-e4b/edge_count,23,23,9,-0.13043478260869565,-1.0434782608695652,0.6521739130434783,1.0,False,False
main_sweep,gemma4-e4b,edge_count,rwse,excluded,mae/gemma4-e4b/edge_count,22,22,12,-0.18181818181818182,-0.6818181818181818,0.13636363636363635,1.0,False,False
main_sweep,gemma4-e4b,node_degree,all,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b,node_degree,clustering,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b,node_degree,components,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.5,-1.4,-0.0,0.5008499150084992,False,False
main_sweep,gemma4-e4b,node_degree,degree,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.4,-1.2,-0.0,1.0,False,False
main_sweep,gemma4-e4b,node_degree,filler,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b,node_degree,rwse,excluded,mae/gemma4-e4b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,node_count,all,excluded,mae/qwen3-14b/node_count,30,30,0,0.16666666666666666,-0.1,0.6,1.0,False,False
main_sweep,qwen3-14b,node_count,clustering,excluded,mae/qwen3-14b/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b,node_count,components,excluded,mae/qwen3-14b/node_count,30,30,0,0.06666666666666667,-0.4,0.6,1.0,False,False
main_sweep,qwen3-14b,node_count,degree,excluded,mae/qwen3-14b/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b,node_count,filler,excluded,mae/qwen3-14b/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b,node_count,rwse,excluded,mae/qwen3-14b/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b,edge_count,all,excluded,mae/qwen3-14b/edge_count,30,30,0,0.3333333333333333,-0.13333333333333333,0.8666666666666667,0.2786721327867213,False,False
main_sweep,qwen3-14b,edge_count,clustering,excluded,mae/qwen3-14b/edge_count,30,30,0,0.9333333333333333,0.36666666666666664,1.6,0.007699230076992301,True,False
main_sweep,qwen3-14b,edge_count,components,excluded,mae/qwen3-14b/edge_count,30,30,0,0.3333333333333333,-0.2,0.9333333333333333,0.31866813318668136,False,False
main_sweep,qwen3-14b,edge_count,degree,excluded,mae/qwen3-14b/edge_count,30,30,0,1.8666666666666667,0.4,3.566666666666667,0.043695630436956304,False,False
main_sweep,qwen3-14b,edge_count,filler,excluded,mae/qwen3-14b/edge_count,30,30,0,-2.466666666666667,-7.833333333333333,0.36666666666666664,0.8162183781621838,False,False
main_sweep,qwen3-14b,edge_count,rwse,excluded,mae/qwen3-14b/edge_count,30,30,0,-2.8,-8.3,0.3,0.31026897310268975,False,False
main_sweep,qwen3-14b,node_degree,all,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,node_degree,clustering,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,node_degree,components,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,node_degree,degree,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,node_degree,filler,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b,node_degree,rwse,excluded,mae/qwen3-14b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,node_count,all,excluded,mae/qwen3-8b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,node_count,clustering,excluded,mae/qwen3-8b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,node_count,components,excluded,mae/qwen3-8b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,node_count,degree,excluded,mae/qwen3-8b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
